,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
0,819,3,22,36,2,2,109,0,7,0
1,2,980,0,11,3,0,2,0,2,0
2,16,1,858,8,57,0,60,0,0,0
3,8,5,15,929,19,0,24,0,0,0
4,1,1,55,33,851,0,59,0,0,0
5,0,0,0,1,0,977,0,12,1,9
6,83,1,59,35,54,0,761,0,7,0
7,0,0,0,0,0,9,0,970,0,21
8,0,1,7,3,4,1,7,0,976,1
9,1,0,0,0,0,6,0,33,0,960
