,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
0,861,0,14,27,4,1,80,0,13,0
1,1,963,2,21,4,0,8,0,1,0
2,9,0,810,9,108,0,58,0,6,0
3,19,4,10,901,36,0,28,0,2,0
4,0,0,91,35,820,0,52,0,2,0
5,0,0,0,1,0,959,0,28,1,11
6,159,1,124,28,90,1,581,0,16,0
7,0,0,0,0,0,10,0,953,0,37
8,1,1,5,3,4,1,7,4,973,1
9,0,0,0,0,0,9,1,45,2,943
