,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
0,728,57,35,41,14,113,0,2,10,0
1,11,949,15,5,10,9,0,0,1,0
2,18,8,709,1,102,150,0,0,12,0
3,70,471,17,302,39,97,0,0,3,1
4,4,43,446,33,387,80,0,0,7,0
5,0,0,0,1,0,656,0,250,0,93
6,242,26,349,18,124,211,0,3,27,0
7,0,0,0,0,0,49,0,878,0,73
8,4,3,38,24,8,108,0,96,708,11
9,0,0,0,0,0,32,0,67,1,900
