,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
0,845,2,23,39,6,0,73,1,11,0
1,0,974,4,17,3,0,1,0,1,0
2,14,0,792,16,107,1,67,1,2,0
3,16,15,11,916,21,0,16,0,5,0
4,1,0,69,41,822,0,65,0,2,0
5,0,1,1,0,0,972,0,19,2,5
6,128,1,78,37,64,0,677,0,15,0
7,0,0,0,0,0,6,0,948,1,45
8,3,0,3,5,5,3,0,5,976,0
9,0,0,0,0,0,13,1,23,0,963
